disbursement_id,grant_id,label,phase,amount,status,event_date,federal_share_pct,federal_amount,city_amount,vendor,invoice_number,check_number,description,notes
northwood-smc-2024__d1,northwood-smc-2024,Phase 1 Mobilization,Pre-Construction,275000,paid,2024-11-15,80,220000,55000,Martam Construction Inc.,SMC-DR-2024-001,EFT-24-110892,"Site mobilization, erosion control installation, temporary access road, and initial clearing for wetland cell area.",
northwood-smc-2024__d2,northwood-smc-2024,Design Engineering (100%),Design,412500,paid,2025-03-20,80,330000,82500,Baxter & Woodman Consulting Engineers,SMC-DR-2024-002,EFT-25-030441,"100% construction documents, hydraulic modeling, NEPA CE documentation, permit applications (IDNR, USACE Section 404).",
northwood-smc-2024__d3,northwood-smc-2024,Phase 1 Construction — Wetland Cells,Construction,1100000,paid,2025-12-31,80,880000,220000,Martam Construction Inc.,SMC-DR-2025-003,EFT-25-121988,"Excavation and grading of 4.2-acre wetland complex, native planting installation (3 cell zones), outlet control structures.",
northwood-smc-2024__d4,northwood-smc-2024,Phase 2 Construction — Culverts & Road,Construction,980000,pending,2026-09-30,80,784000,196000,Martam Construction Inc.,SMC-DR-2026-004,,"Replacement of 3 undersized culverts on Northwood Dr, bioswale installation, lane restoration. Drawdown request submitted 2026-06-01 — awaiting SMC approval.","SMC review period: up to 45 days. Expect payment by Aug 15, 2026."
northwood-smc-2024__d5,northwood-smc-2024,Phase 3 Construction — Road Reconstruction,Construction,1485000,planned,2026-12-31,80,1188000,297000,TBD (bid Q4 2026),,,"Full reconstruction of Northwood Dr between Checker Rd and Weiland Rd — new pavement, curb & gutter, accessible ramps, storm sewer upgrades.",
northwood-smc-2024__d6,northwood-smc-2024,"Closeout, Final Report & Retention",Closeout,1247500,planned,2027-09-30,80,998000,249500,,,,"5% retention release, final performance report, SF-425 closeout submission, project sign installation, as-built drawings.",Retention held until SMC final site inspection and written concurrence.
cmaq-lakecook-2021__d1,cmaq-lakecook-2021,Design & Engineering,Design,360000,paid,2021-11-30,80,288000,72000,HNTB Corporation,CMAQ-DR-2021-001,EFT-21-113344,"Signal timing design, fiber interconnect plans, IDOT Phase II engineering.",
cmaq-lakecook-2021__d2,cmaq-lakecook-2021,Equipment Procurement — Controllers,Procurement,540000,paid,2022-04-18,80,432000,108000,Econolite Systems,CMAQ-DR-2022-002,EFT-22-041190,"Adaptive controllers, detection cameras, transit signal priority units for 11 intersections.",
cmaq-lakecook-2021__d3,cmaq-lakecook-2021,Construction — Fiber & Installation,Construction,1080000,paid,2023-03-22,80,864000,216000,Meade Electric Company,CMAQ-DR-2023-003,EFT-23-032207,"Fiber interconnect trenching, controller cabinet installation, integration and corridor commissioning.",
cmaq-lakecook-2021__d4,cmaq-lakecook-2021,Closeout & Retention Release,Closeout,420000,paid,2024-03-28,80,336000,84000,Meade Electric Company,CMAQ-DR-2024-004,EFT-24-032811,"5% retention release, final performance measurement (before/after travel-time study), as-builts.",Final SF-425 accepted by CMAP 2024-03-15. Grant closed.
afg-scba-2023__d1,afg-scba-2023,SCBA Units Procurement,Procurement,248000,paid,2024-01-22,91,225680,22320,MSA Safety / Air Mask Service Co.,AFG-DR-2024-001,EFT-24-012266,"42 MSA G1 SCBA units with integrated thermal imaging, NFPA 1981 compliant.",
afg-scba-2023__d2,afg-scba-2023,Spare Cylinders & Fit Testing,Procurement,52000,paid,2024-03-15,91,47320,4680,Air Mask Service Co.,AFG-DR-2024-002,EFT-24-031902,"84 carbon-fiber spare cylinders, department-wide fit testing and training.",
afg-scba-2023__d3,afg-scba-2023,Closeout & Final Retention,Closeout,18000,pending,2025-08-31,91,16380,1620,,,,Final invoice reconciliation and retention release pending SF-425 acceptance.,Awaiting final performance report submission before drawdown.
eecbg-streetlights-2024__d1,eecbg-streetlights-2024,Design & Photometric Study,Design,180000,paid,2024-10-15,80,144000,36000,Clanton & Associates,EECBG-DR-2024-001,EFT-24-101455,"Photometric design, fixture spec, controls architecture, ComEd coordination.",
eecbg-streetlights-2024__d2,eecbg-streetlights-2024,Phase 1 — Arterial Fixtures,Construction,620000,paid,2025-04-30,80,496000,124000,Aldridge Electric,EECBG-DR-2025-002,EFT-25-043388,"1,240 arterial/collector LED fixtures with networked controls; ComEd pole attachments.",
eecbg-streetlights-2024__d3,eecbg-streetlights-2024,Phase 2 — Residential Fixtures,Construction,520000,pending,2026-07-31,80,416000,104000,Aldridge Electric,EECBG-DR-2026-003,,"1,860 residential LED conversions, adaptive dimming commissioning. Drawdown submitted 2026-06-05.",DOE review in progress — expected payment Aug 2026.
eecbg-streetlights-2024__d4,eecbg-streetlights-2024,Controls Platform & Closeout,Closeout,280000,planned,2026-12-31,80,224000,56000,,,,"Central management software, M&V energy-savings report, final SF-425.",
