event_id,grant_id,grant_name,event_date,event_type,from_state,to_state,stage_ordinal,detail,actor,amount,source_document
evt-0021,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2020-08-28,StageTransition,Drafting,Submitted,3,Application submitted to U.S. Department of Transportation (USDOT) via CMAP,Deputy Village Manager,,grant-agreement
evt-0022,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2020-08-28,StageTransition,Submitted,UnderReview,4,U.S. Department of Transportation (USDOT) via CMAP technical review begins,Deputy Village Manager,,grant-agreement
evt-0023,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2021-05-15,StageTransition,UnderReview,Awarded,5,"Award notification: $2,400,000",Deputy Village Manager,2400000,grant-agreement
evt-0024,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2021-07-01,StageTransition,Awarded,Active,6,Grant agreement executed — period of performance begins,Deputy Village Manager,,grant-agreement
evt-0027,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2021-07-01,MilestoneCompleted,Active,Active,6,Grant Agreement Executed,Deputy Village Manager,,progress-report
evt-0042,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2021-07-01,ComplianceFiled,Active,Active,6,Title VI Non-Discrimination Certification filed,Deputy Village Manager,,compliance-record
evt-0028,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2021-11-20,MilestoneCompleted,Active,Active,6,Phase II Design Complete,Deputy Village Manager,,progress-report
evt-0034,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2021-11-30,DisbursementPaid,Active,Active,6,Design & Engineering — HNTB Corporation,Deputy Village Manager,360000,CMAQ-DR-2021-001
evt-0029,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2022-04-15,MilestoneCompleted,Active,Active,6,Equipment Procured & Delivered,Deputy Village Manager,,progress-report
evt-0035,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2022-04-18,DisbursementPaid,Active,Active,6,Equipment Procurement — Controllers — Econolite Systems,Deputy Village Manager,540000,CMAQ-DR-2022-002
